,Unnamed: 0,Area,Average_household_size,Average_number_of_vehicles_per_apartment,Average_number_of_vehicles_per_house_condo,Median_age_of_females,Median_age_of_males,Median_household_income,Median_rent,Neighborhood_Name,Percentage_of_family_households,Percentage_of_foreign_born_residents,Percentage_of_married_couple_families,Percentage_of_married_couple_families_with_children,Percentage_of_native_residents_born_outside_the_US,Percentage_of_never_married_females_Over_15,Percentage_of_never_married_males_Over_15,Percentage_of_people_born_in_another_state,Percentage_of_people_born_in_the_state,Percentage_of_people_that_do_not_speak_english,Percentage_of_single_mother_households,Percentage_of_units_with_a_mortgage,Population,Population_density,Population_of_males,Address,coords,lat,lon
250,414,0.002,2.4,1.1,1.5,36.3,28.4,38828,779,Cedar Center Office Condo,39.6,13.7,27.1,19.4,4.6,21.8,20.5,30.8,50.9,0.0,24.5,71.9,6,3756,3,"Cedar Center Office Condo,Tampa,FL","(28.06435805, -82.4139432172388)",28.06435805,-82.4139432172388
254,418,0.054000000000000006,2.2,1.5,2.0,31.8,32.4,47253,829,Cedarwood Village,42.2,27.8,25.4,31.2,8.0,28.0,15.8,32.8,31.4,7.0,6.4,85.8,169,3119,71,"Cedarwood Village,Tampa,FL","(28.06435805, -82.4139432172388)",28.06435805,-82.4139432172388
255,419,0.038,2.8,0.6,5.5,28.6,24.9,18811,184,Cental Park,62.0,6.6,8.7,1.1,2.7,40.9,17.6,22.1,68.6,3.2,32.6,86.2,210,5495,71,"Cental Park,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
256,420,0.03,2.2,1.9,1.6,37.3,42.9,49169,967,Center Hill,49.6,5.8,29.7,34.6,5.0,22.1,21.8,41.6,47.6,3.7,6.4,71.5,142,4681,66,"Center Hill,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
257,422,0.004,3.1,0.6,30.1,20.3,9.2,9776,126,Central Court,65.4,6.6,10.6,1.5,2.7,45.8,15.0,22.1,68.6,0.0,32.5,94.2,23,5876,7,"Central Court,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
258,423,0.01,34.0,0.8,1.6,34.3,33.8,22375,815,Central Heights,55.4,7.4,23.1,3.0,8.4,25.1,11.4,36.6,47.6,7.0,20.3,66.9,52,5029,24,"Central Heights,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
259,424,0.017,3.2,0.8,1.7,26.0,20.8,24554,656,Central Village,67.3,6.4,8.7,4.4,3.4,46.4,30.7,13.8,76.4,3.9,27.1,59.6,90,5302,35,"Central Village,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
260,425,0.009000000000000001,2.5,1.0,1.3,36.3,39.5,27250,511,Centralia,36.0,6.6,14.5,15.8,2.7,19.1,29.3,22.1,68.6,0.0,19.5,66.2,25,2891,15,"Centralia,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
262,427,0.285,2.8,2.1,2.0,39.5,33.1,97955,1250,Champions Forest,52.2,18.4,53.5,27.0,5.0,12.8,16.8,47.7,28.9,6.3,7.4,74.1,310,1088,159,"Champions Forest,Tampa,FL","(28.0597231, -82.4073451435709)",28.0597231,-82.4073451435709
263,430,0.01,2.0,1.8,2.4,50.4,49.1,119956,2121,Chapin Avenue,39.3,11.4,48.9,41.2,2.1,5.2,19.3,49.0,37.5,0.0,7.4,64.9,61,5976,32,"Chapin Avenue,Tampa,FL","(27.8997233, -82.4938444)",27.8997233,-82.4938444
264,431,0.003,2.0,1.3,1.7,49.0,53.8,133889,2121,Chapin Green,43.8,11.4,56.9,51.7,2.1,3.7,13.4,49.0,37.5,0.0,8.5,58.4,25,8031,13,"Chapin Green,Tampa,FL","(27.899717, -82.496083)",27.899717,-82.496083
267,435,0.026000000000000002,2.7,2.1,2.0,52.4,47.3,107019,1535,Chateau Villa,54.5,7.7,57.1,28.6,2.1,15.6,10.7,45.4,44.7,0.0,6.6,47.6,128,4960,51,"Chateau Villa,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
268,438,0.153,2.3,0.9,1.9,56.2,51.2,69219,998,Cherry Creek,45.7,14.2,61.9,40.6,1.7,9.9,10.9,40.9,43.3,3.8,1.5,67.5,453,2953,218,"Cherry Creek,Tampa,FL","(27.9616642, -82.5058462)",27.9616642,-82.5058462
271,443,0.001,31.0,1.5,1.7,49.7,35.7,36632,717,Church Arbor Condo,37.4,54.5,42.1,19.9,3.5,10.5,21.6,17.5,24.6,11.1,3.2,59.2,11,7356,5,"Church Arbor Condo,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
272,447,0.018000000000000002,2.5,1.1,1.9,46.1,38.5,89236,877,Citrus Acres,44.5,15.2,62.7,41.7,1.7,6.8,3.8,50.2,33.0,0.0,5.0,67.9,6,326,3,"Citrus Acres,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
273,448,0.003,2.8,1.4,1.9,35.8,25.4,46056,841,Citrus Park Commons,66.9,24.0,38.9,16.0,8.7,21.6,18.4,38.1,29.2,0.0,20.5,67.2,9,3201,5,"Citrus Park Commons,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
274,449,0.008,2.3,1.3,1.4,52.6,32.3,41033,845,Citrus Park Crossing,36.7,18.3,31.5,30.5,6.4,8.3,21.4,37.8,37.5,0.0,8.5,51.6,10,1207,5,"Citrus Park Crossing,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
275,450,0.022000000000000002,1.2,1.0,1.8,18.9,23.5,34689,475,Citrus Park,35.2,6.0,41.7,34.3,3.0,14.6,16.7,48.7,42.3,0.0,11.2,71.6,21,964,10,"Citrus Park,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
276,451,0.225,2.5,1.5,1.8,36.8,33.5,48750,1230,Citrus Park Town Center,46.1,18.3,40.9,17.7,6.4,10.6,23.6,37.8,37.5,7.0,21.3,76.4,347,1539,171,"Citrus Park Town Center,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
277,452,0.129,2.5,1.5,1.8,36.8,33.5,48750,1230,Citrus Pointe,46.1,18.3,40.9,17.8,6.4,10.6,23.6,37.8,37.5,5.9,21.3,76.4,198,1534,97,"Citrus Pointe,Tampa,FL","(28.0316843, -82.4099352)",28.0316843,-82.4099352
278,454,0.002,1.9,0.9,1.7,60.8,32.3,50221,1067,City Central Condo,10.3,11.2,10.9,37.6,0.4,23.9,58.7,56.3,32.2,0.0,8.6,30.8,3,1992,2,"City Central Condo,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
279,456,0.003,1.8,1.4,1.2,25.8,29.5,60152,1066,Cityplace Condo,5.1,11.2,8.0,41.4,0.4,34.1,39.0,56.3,32.2,9.1,9.4,70.3,22,8501,12,"Cityplace Condo,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
280,457,0.6409999999999999,3.3,1.7,2.0,39.8,33.5,34623,857,Clair Mel City,51.9,31.4,44.2,21.5,9.9,11.1,20.3,14.6,44.1,13.5,7.1,60.9,4242,6621,2205,"Clair Mel City,Tampa,FL","(27.9501452, -82.3810809)",27.9501452,-82.3810809
282,459,0.006,2.0,1.3,1.6,60.6,52.6,35417,866,Clarice Place,20.5,6.1,23.4,20.7,3.3,12.5,9.3,53.9,36.7,0.0,27.2,75.1,19,3328,9,"Clarice Place,Tampa,FL","(27.891544, -82.504954)",27.891544,-82.504954
283,464,0.055,2.6,1.0,1.8,45.4,46.7,33663,844,Clewis Garden,37.3,20.4,30.9,26.5,3.8,18.0,28.8,29.2,46.5,0.0,29.7,66.7,10,182,5,"Clewis Garden,Tampa,FL","(27.9258802, -82.4868442)",27.9258802,-82.4868442
284,467,0.013999999999999999,2.9,1.3,1.9,40.4,28.7,42482,1027,Clo Mar Homes,71.5,17.1,56.7,18.0,8.8,9.0,11.5,27.8,46.3,10.4,18.6,75.0,68,5021,35,"Clo Mar Homes,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
285,468,0.013999999999999999,1.9,1.4,1.7,30.7,32.5,70688,1472,Cloverdale,34.5,18.1,21.0,33.2,3.9,16.5,29.2,39.4,38.6,0.0,17.9,42.3,4,291,2,"Cloverdale,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
286,469,0.003,2.3,0.8,1.9,41.4,42.3,82750,1752,Club Bayshore Condo,44.5,5.8,42.6,36.0,8.2,7.2,7.6,47.9,38.0,0.0,7.0,63.4,15,4972,7,"Club Bayshore Condo,Tampa,FL","(27.8725808, -82.4939973)",27.8725808,-82.4939973
288,472,0.019,3.3,2.0,2.2,33.4,36.9,111941,1484,Clubview,72.9,25.7,68.7,26.2,3.2,10.4,13.4,43.1,28.0,0.0,4.0,84.7,44,2261,20,"Clubview,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
289,473,0.013999999999999999,2.4,1.3,1.8,46.6,37.4,46154,1181,Coarsey Grove Estates,72.1,17.1,61.4,23.0,8.8,3.5,2.4,27.8,46.3,7.7,7.5,75.1,41,3008,21,"Coarsey Grove Estates,Tampa,FL","(28.014512, -82.484443)",28.014512,-82.484443
290,475,0.019,3.2,0.8,1.7,26.0,20.8,24554,656,College Heights,67.3,6.4,8.7,4.4,3.4,46.4,30.7,13.8,76.4,3.4,27.0,59.6,104,5391,40,"College Heights,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
291,476,0.1,2.7,0.6,1.1,36.9,21.1,21669,775,College Hill,42.7,6.4,11.3,5.1,3.4,27.8,19.3,13.8,76.4,0.6,31.5,62.9,558,5561,231,"College Hill,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
292,479,0.113,2.3,1.0,1.7,56.2,39.6,36141,740,Collins Armenia Park,34.1,41.4,27.5,41.0,3.3,8.9,18.8,18.1,37.2,21.0,3.5,41.8,429,3789,219,"Collins Armenia Park,Tampa,FL","(28.0599571, -82.4130871)",28.0599571,-82.4130871
293,480,0.037000000000000005,3.0,0.2,4.1,38.9,30.6,45498,884,Colonial Beach,66.8,38.6,43.6,14.6,3.9,16.2,31.8,20.7,36.9,10.4,12.8,50.9,206,5575,114,"Colonial Beach,Tampa,FL","(28.1636271, -82.3563787)",28.1636271,-82.3563787
294,481,0.015,2.9,1.7,1.6,42.9,39.9,60119,978,Colonial Grove,40.6,15.3,38.7,22.7,3.6,14.4,28.6,34.4,46.7,2.2,31.1,56.9,52,3537,30,"Colonial Grove,Tampa,FL","(27.890747, -82.501571)",27.890747,-82.501571
295,485,0.006,2.3,0.8,1.9,41.4,42.3,82750,1752,Colony Oaks Townhomes,44.5,5.8,42.6,34.0,8.2,7.2,7.6,47.9,38.0,0.0,6.6,63.4,34,5523,16,"Colony Oaks Townhomes,Tampa,FL","(28.0344135, -82.4192837495311)",28.0344135,-82.4192837495311
296,487,0.011000000000000001,3.1,1.2,2.2,15.0,32.5,39125,782,Community Estates,38.5,38.6,57.1,17.1,3.9,2.8,18.7,20.7,36.9,12.5,11.4,72.5,28,2470,13,"Community Estates,Tampa,FL","(28.036047, -82.471732)",28.036047,-82.471732
297,488,0.006,2.0,1.0,1.6,45.3,44.8,43750,840,Cooper Heights,36.2,6.8,20.7,24.9,7.9,16.1,27.7,35.3,50.0,0.0,26.8,71.6,21,3406,10,"Cooper Heights,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
298,489,0.245,2.8,4.3,0.6,47.2,46.7,54149,804,Copperfield,52.5,43.9,57.2,32.1,10.0,12.5,13.4,22.0,24.1,17.2,3.5,67.2,933,3804,390,"Copperfield,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
301,492,0.032,1.8,1.3,1.3,36.4,36.1,48333,1247,Cornerstone Plaza,28.2,18.1,20.2,31.1,3.9,18.5,27.5,39.4,38.6,3.6,14.9,42.3,116,3581,57,"Cornerstone Plaza,Tampa,FL","(28.1666458, -82.2970127)",28.1666458,-82.2970127
302,494,0.011000000000000001,2.7,0.4,5.9,27.6,23.0,14336,538,Corona,61.7,15.7,6.0,6.9,4.2,44.5,21.5,20.0,60.1,6.0,30.8,50.0,54,4966,16,"Corona,Tampa,FL","(27.9139245, -82.5045227387876)",27.9139245,-82.5045227387876
307,500,0.129,3.7,1.8,2.0,42.8,43.4,75012,1338,Country Chase,63.4,18.7,47.6,18.1,6.2,22.0,11.9,44.4,30.7,6.2,10.9,75.1,725,5605,326,"Country Chase,Tampa,FL","(27.88695, -82.483346)",27.88695,-82.483346
308,501,0.008,2.5,9.5,1.5,55.3,49.3,70778,880,Country Club Court,48.9,13.4,53.4,34.1,1.4,6.1,10.7,40.9,44.4,5.0,8.0,69.9,21,2792,10,"Country Club Court,Tampa,FL","(28.053192, -82.475848)",28.053192,-82.475848
309,502,0.003,2.2,1.0,1.5,54.2,50.5,35333,701,Country Club Place,36.6,16.8,31.6,32.5,5.2,6.2,20.8,35.3,42.6,0.0,17.3,39.5,7,2299,4,"Country Club Place,Tampa,FL","(28.054896, -82.464635)",28.054896,-82.464635
311,505,0.057999999999999996,1.7,3.0,1.5,62.5,60.7,28977,387,Country Lakes,13.4,17.4,23.7,47.0,5.7,7.1,12.8,44.0,32.9,5.4,6.7,15.9,37,633,14,"Country Lakes,Tampa,FL","(28.053192, -82.475848)",28.053192,-82.475848
312,506,1.034,2.5,2.3,1.3,45.3,41.4,70111,1275,Country Place,53.3,15.2,48.2,23.6,4.0,8.6,11.5,39.5,41.2,2.0,8.9,80.8,3188,3083,1678,"Country Place,Tampa,FL","(28.1282133, -82.3556471064516)",28.1282133,-82.3556471064516
313,507,0.005,3.4,2.1,2.1,26.8,31.2,55898,1014,Country Road Acres,56.6,14.4,53.0,25.0,7.2,31.7,20.4,35.2,43.1,0.0,5.9,41.4,12,2325,5,"Country Road Acres,Tampa,FL","(28.053192, -82.475848)",28.053192,-82.475848
314,508,0.555,2.9,1.7,1.7,41.2,35.5,62461,1105,Country Run,52.0,26.5,42.3,33.4,4.8,11.3,17.7,34.5,34.2,10.3,17.1,86.0,1272,2292,619,"Country Run,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
315,509,0.051,3.0,2.2,2.3,45.2,39.5,81827,981,Country Village,62.1,15.1,62.8,24.6,2.4,12.9,13.5,39.3,43.2,3.4,1.7,77.7,460,9104,229,"Country Village,Tampa,FL","(27.9728624, -82.6005069)",27.9728624,-82.6005069
316,510,1.239,2.9,1.7,2.0,40.8,39.5,78481,1177,Countryway,59.7,19.8,52.8,24.9,7.9,14.6,13.1,44.0,28.3,3.6,21.6,74.1,2130,1719,1061,"Countryway,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
317,511,0.25,10.9,1.5,1.4,34.5,33.7,74540,1297,Courier City,9.8,11.2,12.5,44.3,0.4,33.5,35.1,56.3,32.2,5.6,13.9,72.2,2395,9594,1192,"Courier City,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
318,513,0.001,2.2,0.9,1.8,34.5,45.1,43750,631,Courtney Place,37.7,3.6,23.4,27.2,0.3,25.4,33.8,41.6,54.5,0.0,18.1,86.0,2,1764,1,"Courtney Place,Tampa,FL","(27.9728624, -82.6005069)",27.9728624,-82.6005069
320,517,0.05,0.2,1.7,1.7,3.1,3.1,5017,99,Crawford Place,38.3,8.5,29.7,15.4,2.7,17.5,21.2,34.0,54.9,7.0,8.8,69.6,17,337,9,"Crawford Place,Tampa,FL","(28.013502, -82.438894)",28.013502,-82.438894
321,518,0.08199999999999999,17.2,1.7,1.6,42.2,37.9,50217,1428,Crescent Park,63.2,18.5,34.6,9.3,5.5,8.2,25.4,46.2,29.8,4.1,25.9,71.1,236,2864,124,"Crescent Park,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
322,521,0.006,0.6,1.2,1.3,7.9,6.5,7101,263,Crest Place,55.0,18.2,26.1,13.1,0.7,23.2,23.0,34.2,46.9,0.0,45.1,55.0,3,501,1,"Crest Place,Tampa,FL","(28.0092849, -82.4512182)",28.0092849,-82.4512182
323,523,0.062,3.4,1.6,2.0,48.2,57.1,61050,1146,Crestridge,48.1,32.4,46.5,31.4,9.9,12.6,15.1,26.3,31.4,25.6,2.6,65.0,257,4171,122,"Crestridge,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
325,527,1.3259999999999998,3.9,2.0,2.2,39.0,43.1,130728,1733,Cross Creek,72.9,25.7,68.7,26.0,3.2,10.4,13.4,43.1,28.0,1.9,4.0,84.7,3039,2292,1428,"Cross Creek,Tampa,FL","(28.1435777, -82.2980355)",28.1435777,-82.2980355
327,532,0.07400000000000001,2.6,1.4,2.2,55.2,53.0,161875,1535,Culbreath Bayou,52.1,7.7,82.0,38.5,2.1,8.2,5.2,45.4,44.7,0.3,9.0,62.1,303,4071,142,"Culbreath Bayou,Tampa,FL","(27.9350217, -82.5350961)",27.9350217,-82.5350961
328,533,0.159,2.9,1.4,2.7,48.0,50.7,178888,1535,Culbreath Isles,75.3,7.7,74.4,30.0,2.1,12.0,19.5,45.4,44.7,0.0,2.7,69.1,71,447,35,"Culbreath Isles,Tampa,FL","(27.931976, -82.528177)",27.931976,-82.528177
329,535,0.028999999999999998,3.0,3.0,3.5,48.1,48.1,123782,1163,Culbreath Oaks,67.3,17.3,68.5,26.8,8.3,11.1,14.0,35.8,38.7,5.3,9.0,72.7,157,5357,87,"Culbreath Oaks,Tampa,FL","(27.931981, -82.527728)",27.931981,-82.527728
331,537,0.047,3.2,11.9,2.4,36.9,45.4,108438,1315,Cumberland Estates,64.1,16.1,75.6,30.6,1.4,13.7,10.3,41.7,40.8,0.0,1.1,79.4,31,657,14,"Cumberland Estates,Tampa,FL","(27.9450313, -82.4460731)",27.9450313,-82.4460731
332,538,0.21,3.2,11.9,2.4,36.9,45.4,108438,1315,Cumberland Manors,64.1,16.1,75.6,30.0,1.4,13.7,10.3,41.7,40.8,3.1,1.1,79.4,141,671,64,"Cumberland Manors,Tampa,FL","(27.9450313, -82.4460731)",27.9450313,-82.4460731
333,539,0.011000000000000001,2.6,1.4,2.1,28.6,43.2,44375,920,Curlin Place,61.3,16.0,36.5,21.6,1.7,27.4,11.5,46.5,35.9,6.5,7.0,84.1,34,3008,13,"Curlin Place,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
335,541,0.027000000000000003,2.3,0.9,1.2,30.1,27.5,14264,532,Cuscaden Grove,21.3,28.6,29.2,3.8,6.5,26.5,27.6,24.3,40.6,22.1,30.2,29.9,106,3922,56,"Cuscaden Grove,Tampa,FL","(27.96893535, -82.4435790049167)",27.96893535,-82.4435790049167
337,543,0.027999999999999997,2.8,2.0,1.9,47.0,35.0,61618,952,Cypress Cove Townhomes,53.6,26.5,48.3,28.6,4.8,9.9,19.6,34.5,34.2,8.8,3.2,81.0,74,2618,37,"Cypress Cove Townhomes,Tampa,FL","(28.1645743, -82.3869588)",28.1645743,-82.3869588
338,544,0.057,1.9,1.4,1.7,30.7,32.5,70688,1472,Cypress Estates,34.5,18.1,21.0,27.4,3.9,16.5,29.2,39.4,38.6,6.7,14.7,42.3,20,350,10,"Cypress Estates,Tampa,FL","(28.1645743, -82.3869588)",28.1645743,-82.3869588
339,545,0.015,3.0,1.5,1.6,40.9,39.5,74083,1054,Cypress Glen,53.0,31.2,40.4,36.4,11.6,14.4,16.1,31.2,26.0,9.1,4.4,66.9,163,11043,76,"Cypress Glen,Tampa,FL","(28.0700122, -82.3622749)",28.0700122,-82.3622749
340,546,0.023,2.7,4.8,4.5,42.0,45.9,93811,1103,Cypress Hollow,51.5,17.3,50.9,37.6,8.3,14.3,17.2,35.8,38.7,4.5,3.7,85.4,209,9119,101,"Cypress Hollow,Tampa,FL","(28.1645743, -82.3869588)",28.1645743,-82.3869588
341,548,0.008,39.0,1.8,2.2,39.9,43.1,142695,970,Cypress Park Garden Homes Condo,80.0,14.8,78.8,30.2,4.8,9.6,6.5,49.4,30.9,0.0,3.0,82.6,10,1251,4,"Cypress Park Garden Homes Condo,Tampa,FL","(28.1645743, -82.3869588)",28.1645743,-82.3869588
342,549,0.006999999999999999,3.4,1.5,1.1,28.3,24.0,37927,796,Cypress Point,61.6,6.5,28.3,8.0,5.8,25.3,32.9,43.4,44.4,0.0,19.6,69.4,11,1642,6,"Cypress Point,Tampa,FL","(27.9512132, -82.5445061943466)",27.9512132,-82.5445061943466
343,550,0.019,2.3,1.3,2.0,63.4,58.1,96702,2683,Cypress Run,33.4,11.3,65.1,38.1,0.5,7.4,7.5,72.3,15.9,0.0,6.4,51.9,122,6477,58,"Cypress Run,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
344,552,0.046,3.2,3.8,1.3,39.4,34.7,34350,632,Cypress Tree,34.0,39.0,37.8,21.1,11.2,15.7,18.6,23.1,26.7,22.8,10.5,33.6,58,1260,27,"Cypress Tree,Tampa,FL","(27.9524681, -82.539453)",27.9524681,-82.539453
345,553,0.003,1.7,1.0,1.0,51.5,34.6,31618,853,Cypress Willows,32.3,31.2,20.6,109.7,11.6,3.0,43.8,31.2,26.0,0.0,73.2,45.1,3,1105,2,"Cypress Willows,Tampa,FL","(27.9524681, -82.539453)",27.9524681,-82.539453
346,554,0.107,3.2,1.2,1.9,35.4,26.3,26806,793,Dairy Farm,61.9,9.6,34.3,10.0,2.5,21.6,23.3,19.9,67.9,3.4,16.9,72.1,345,3224,176,"Dairy Farm,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
347,556,0.011000000000000001,1.6,1.4,0.9,58.4,40.8,20903,1266,Dale Mabry Highway Beach Street,13.6,18.1,17.6,39.3,3.9,18.6,19.2,39.4,38.6,4.8,25.5,43.9,42,3798,16,"Dale Mabry Highway Beach Street,Tampa,FL","(27.963714, -82.505422)",27.963714,-82.505422
348,557,0.166,3.1,1.5,2.1,52.2,46.6,105930,1049,Dana Shores,52.9,15.2,54.5,22.9,8.1,11.7,15.2,45.0,31.8,2.6,13.1,63.3,274,1649,142,"Dana Shores,Tampa,FL","(27.9740848, -82.5567741)",27.9740848,-82.5567741
349,558,0.018000000000000002,2.6,9.6,0.7,60.5,49.1,55426,719,Daneli North,42.0,14.8,59.0,33.8,11.2,5.2,18.3,39.3,34.7,10.2,4.9,77.1,50,2788,23,"Daneli North,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
350,561,1.663,1.9,1.6,1.7,26.8,40.4,94049,1267,Davis Islands,27.1,8.3,26.5,19.7,3.0,28.7,26.3,58.5,30.1,0.0,21.1,89.7,7002,4210,3185,"Davis Islands,Tampa,FL","(27.921967, -82.45565)",27.921967,-82.45565
351,562,0.015,2.6,1.4,2.2,33.8,33.9,47101,816,Davis Terrace,59.9,14.4,43.5,27.9,7.2,17.7,18.6,35.2,43.1,6.0,10.1,72.3,72,4720,34,"Davis Terrace,Tampa,FL","(27.921967, -82.45565)",27.921967,-82.45565
352,563,0.013000000000000001,2.4,1.3,1.7,37.5,34.2,49076,794,De Leon Park,48.0,6.0,38.6,25.6,3.0,19.1,17.2,48.7,42.3,0.0,14.7,90.1,59,4378,28,"De Leon Park,Tampa,FL","(27.93887, -82.472721)",27.93887,-82.472721
353,564,0.12300000000000001,3.2,2.1,2.0,60.3,53.6,79599,939,Deer Creek,55.3,12.7,64.5,20.8,3.3,4.4,14.9,44.3,39.6,0.0,13.2,78.5,21,170,11,"Deer Creek,Tampa,FL","(28.13376, -82.337526)",28.13376,-82.337526
355,569,0.011000000000000001,3.3,1.5,1.8,31.8,30.4,37262,824,Delaney Woods,59.8,16.5,31.9,11.3,11.8,19.3,20.6,20.0,51.8,0.0,16.7,67.6,14,1287,6,"Delaney Woods,Tampa,FL","(27.9145795, -82.4492402)",27.9145795,-82.4492402
357,573,0.003,2.6,1.2,1.3,31.5,26.0,28426,1054,Delmar Terrace,55.0,18.2,26.1,11.5,0.7,23.2,23.0,34.2,46.9,0.0,39.4,55.0,8,2842,4,"Delmar Terrace,Tampa,FL","(27.91855, -82.4408985)",27.91855,-82.4408985
358,574,0.004,1.7,0.5,1.3,23.4,44.1,11865,438,Denis Place,42.0,12.3,4.4,2.1,7.2,46.9,18.9,32.5,48.0,0.0,56.8,56.1,17,4575,7,"Denis Place,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
359,575,0.013000000000000001,2.5,0.8,1.7,35.1,33.2,17165,649,Desoto Heights,43.6,9.5,31.1,11.9,1.3,17.6,26.5,33.8,55.4,0.0,24.0,53.2,7,523,4,"Desoto Heights,Tampa,FL","(28.0370823, -82.4212613449711)",28.0370823,-82.4212613449711
360,576,0.013000000000000001,2.3,1.2,1.8,37.3,40.2,85250,868,Deuber Place,42.4,11.1,40.3,31.1,1.8,18.3,18.5,43.7,43.4,0.0,4.5,70.8,68,5244,32,"Deuber Place,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
361,577,0.012,2.5,1.4,1.7,44.6,44.1,49063,695,Devon Park,32.3,14.5,25.5,11.7,8.6,19.8,28.2,37.6,39.4,5.0,29.5,65.4,60,4868,34,"Devon Park,Tampa,FL","(28.1205332, -82.3915144)",28.1205332,-82.3915144
362,578,0.015,2.4,1.2,2.0,42.4,35.4,62196,978,Devonshire Woods,39.1,14.6,41.8,32.7,1.4,16.4,17.3,52.1,31.9,0.0,5.3,65.8,53,3455,26,"Devonshire Woods,Tampa,FL","(28.140155, -82.320272)",28.140155,-82.320272
363,580,0.12,2.5,0.8,1.6,28.8,36.1,17583,621,Dixie Farms,45.9,9.5,38.4,14.1,1.3,14.1,22.9,33.8,55.4,0.0,20.2,46.9,160,1337,80,"Dixie Farms,Tampa,FL","(27.9652322, -82.5040415620791)",27.9652322,-82.5040415620791
364,582,0.001,2.5,1.1,1.4,36.3,43.8,35375,641,Dixie Park,49.6,19.3,36.8,13.9,11.3,23.4,13.1,24.1,45.3,0.0,30.7,54.5,2,1845,1,"Dixie Park,Tampa,FL","(27.9360233, -82.4814286)",27.9360233,-82.4814286
365,583,0.003,2.8,1.4,1.8,32.3,32.9,49074,859,Dixie Terrace,54.4,8.5,30.8,11.3,2.7,19.8,22.1,34.0,54.9,0.0,17.9,72.0,22,7550,10,"Dixie Terrace,Tampa,FL","(27.9652322, -82.5040415620791)",27.9652322,-82.5040415620791
366,586,0.006999999999999999,12.1,1.4,1.7,38.2,41.2,40590,665,Dorothy Park,44.1,14.8,34.2,22.7,5.7,31.0,12.4,33.1,46.4,4.4,6.7,68.8,48,6779,18,"Dorothy Park,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
367,588,0.7709999999999999,1.5,0.7,1.4,25.0,28.3,24049,779,Downtown,23.4,17.8,8.7,1.2,6.0,48.9,34.4,57.0,19.2,1.9,26.4,74.4,8808,11426,3823,"Downtown,Tampa,FL","(27.9585506, -82.4631604272681)",27.9585506,-82.4631604272681
369,590,1.63,2.9,0.3,1.4,53.6,47.0,22782,710,Drew Park,49.3,36.4,29.9,16.8,8.1,8.4,28.1,21.9,33.6,31.0,22.2,39.1,1935,1187,1070,"Drew Park,Tampa,FL","(27.9839089, -82.5131511)",27.9839089,-82.5131511
371,593,0.057999999999999996,3.1,1.7,1.7,51.4,50.6,49026,1116,Eagle Creek,41.7,27.4,47.0,31.7,6.1,15.8,15.6,44.2,22.3,8.0,5.3,52.7,30,521,14,"Eagle Creek,Tampa,FL","(28.127955, -82.354305)",28.127955,-82.354305
372,595,0.16699999999999998,3.2,11.9,2.4,36.9,45.4,108438,1315,Eaglebrook,64.1,16.1,75.6,30.0,1.4,13.7,10.3,41.7,40.8,2.9,1.1,79.4,112,671,51,"Eaglebrook,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
